,artist_name,album_title,count,sum_track_count,combined_counts,match
4717,Regal86,Hydraulic Booty Vol. II,1,1,1,0
9330,Big Daddy Kane,It's a Big Daddy Thing,1,1,1,0
3234,purity filter,SEXDUIT WIFECORE,2,2,4,1
2630,America,Holiday,2,4,8,1
11266,GoldLink,Diaspora,1,6,6,1
11506,HONTATEDORI,Konata Kanata,1,1,1,0
11622,Kirill Mamin,fabric 96: DVS1 (DJ Mix),1,1,1,0
8744,ALL BUT 6,ALL BUT 6 VOL. 2,1,1,1,0
6887,Tendre,Red Focus,1,1,1,0
2245,The Pogues,Red Roses For Me (Expanded Edition),2,2,4,1
9300,Breaksam,STRANGE MALWARE,1,5,5,1
9100,Brethren,Brethren,1,1,1,0
1688,Kaede,深夜。あなたは今日を振り返り、また新しい朝だね。,3,3,9,1
2817,Anthony Naples,Orbs,2,2,4,1
12160,KOTA The Friend,Colorado,1,1,1,0
11655,Kazuhito Murata,ひとかけらの夏 (Debut 30th Anniversary Edition),1,1,1,0
8713,AFTA-1,F O R M,1,1,1,0
3986,white grouse,street struck,1,1,1,0
9750,Madlib,Bad Neighbor Instrumentals,1,2,2,0
4774,アンノウン モータル オーケストラ,Sex & Food,1,12,12,1
12196,Jolie Chérie,Kitsuné Maison Compilation 10: The Fireworks Issue,1,1,1,0
7414,Del The Funky Homosapien,Gate 13,1,1,1,0
11071,Horace Silver,Hard Bop Keys,1,1,1,0
5829,チャットモンチー,変身,1,3,3,1
9635,Makoto Matsushita,Ｆｉｒｓｔ Ｌｉｇｈｔ,1,2,2,0
2356,ユセフ・ラティーフ,Eastern Sounds,2,2,4,0
11313,Ghostwhip,Ghostwhip Presents: Cruise Control (Tokyo to Toronto),1,5,5,1
6943,The Brotet,Shiki No Uta,1,19,19,1
5813,トロ・イ・モア,MAHAL,1,1,1,0
5519,bliss3three,2.12005,1,4,4,1
